Lugnås-Ullervads pastorat;Skara stift
Luleå domkyrkoförsamling;Luleå stift
Luleå stift;Luleå stift
Lundby församling;Göteborgs stift
Lunds pastorat;Lunds stift
Lunds stift;Lunds stift
Lyckå församling;Lunds stift
Lysekils pastorat;Göteborgs stift
Lysviks församling;Karlstads stift
Löddebygdens församling;Lunds stift
Löderups församling;Lunds stift
Löftadalens pastorat;Göteborgs stift
Lövestads församling;Lunds stift
Malmö pastorat;Lunds stift
Malungs församling;Västerås stift
Malå-Sorsele pastorat;Luleå stift
Maria Magdalena församling;Stockholms stift
Mariefreds församling;Strängnäs stift
Mariestads församling;Skara stift
Markaryds församling;Växjö stift
Marstrand-Torsby pastorat;Göteborgs stift
Medelpads norra pastorat;Härnösands stift
Medelpads södra pastorat;Härnösands stift
Melleruds församling;Karlstads stift
Mellösa församling;Strängnäs stift
Mjällby församling;Lunds stift
Moheda pastorat;Växjö stift
Mora församling;Västerås stift
Motala församling;Linköpings stift
Mullsjö-Sandhems församling;Skara stift
Munka Ljungby församling;Lunds stift
Munkedals församling;Göteborgs stift
Märsta pastorat;Uppsala stift
Månsarps församling;Växjö stift
Mölndals pastorat;Göteborgs stift
Mönsterås-Fliseryds pastorat;Växjö stift
Mörrum-Elleholms församling;Lunds stift
Nacka församling;Stockholms stift
Nederluleå församling;Luleå stift
Nor-Segerstads församling;Karlstads stift
Nora församling;Uppsala stift
Noraskogs pastorat;Västerås stift
Norberg-Karbennings församling;Västerås stift
Nordanstigskustens församling;Uppsala stift
Nordmalings församling;Luleå stift
Nordmarkens pastorat;Karlstads stift
Norra Billings pastorat;Skara stift
Norra Gotlands pastorat;Visby stift
Norra Hagunda församling;Uppsala stift
Norra Mo församling;Skara stift
Norra Tjusts pastorat;Linköpings stift
Norra Ölands pastorat;Växjö stift
Norrahammars församling;Växjö stift
Norrala-Trönö församling;Uppsala stift
Norrfjärdens församling;Luleå stift
Norrköpings pastorat;Linköpings stift
Norsjö församling;Luleå stift
Nosaby församling;Lunds stift
Nybro pastorat;Växjö stift
Nyköpings församling;Strängnäs stift
Nylöse pastorat;Göteborgs stift
Nynäshamns församling;Strängnäs stift
Näsets pastorat;Lunds stift
Nässjö pastorat;Växjö stift
Nättraby-Hasslö församling;Lunds stift
Nödinge församling;Göteborgs stift
Ockelbo församling;Uppsala stift
Onsala församling;Göteborgs stift
Oppmanna-Vånga församling;Lunds stift
Orsa församling;Västerås stift
Orusts pastorat;Göteborgs stift
Osby pastorat;Lunds stift
Oscars församling;Stockholms stift
Oskarshamns församling;Växjö stift
Ovansjö-Järbo församling;Uppsala stift
Ovansjö-Järbo pastorat;Uppsala stift
Oxelösunds församling;Strängnäs stift
Pajala församling;Luleå stift
Partille pastorat;Göteborgs stift
Perstorps församling;Lunds stift
Piteå församling;Luleå stift
Rasbo pastorat;Uppsala stift
Rimforsa församling;Linköpings stift
Ringsjö församling;Lunds stift
Rogberga-Öggestorps församling;Växjö stift
Romaklosters pastorat;Visby stift
Romelanda pastorat;Göteborgs stift
Rommele församling;Skara stift
Ronneby pastorat;Lunds stift
Roslagens norra pastorat;Uppsala stift
Roslagens västra pastorat;Uppsala stift
Roslagens östra pastorat;Uppsala stift
Rydaholms församling;Växjö stift
Ryssby pastorat;Växjö stift
Ryssby-Åby pastorat;Växjö stift
Rättviks pastorat;Västerås stift
Råda församling;Göteborgs stift
Rådmansö-Frötuna pastorat;Uppsala stift
Råneå församling;Luleå stift
Rödeby församling;Lunds stift
Rönö församling;Strängnäs stift
S:t Johannes församling;Stockholms stift
S:t Matteus församling;Stockholms stift
S:t Staffans församling;Lunds stift
Sala-Norrby-Möklinta pastorat;Västerås stift
Salems församling;Strängnäs stift
Saltsjöbadens församling;Stockholms stift
Samfälligheten Gotlands kyrkor;Visby stift
Sandhult-Bredareds församling;Skara stift
Sandvikens pastorat;Uppsala stift
Sigtuna församling;Uppsala stift
Simrishamns församling;Lunds stift
Sjöbo församling;Lunds stift
Skallsjö församling;Göteborgs stift
Skara pastorat;Skara stift
Skara stift;Skara stift
Skarpnäcks församling;Stockholms stift
Skatelövs pastorat;Växjö stift
Skellefteå pastorat;Luleå stift
Skellefteå S:t Örjans församling;Luleå stift
Skepplanda pastorat;Göteborgs stift
Skillingaryds församling;Växjö stift
Skinnskatteberg med Hed och Gunnilbo församling;Västerås stift
Skivarps församling;Lunds stift
Skurups församling;Lunds stift
Skärholmens församling;Stockholms stift
Skärstad-Ölmstads församling;Växjö stift
Sköllersta församling;Strängnäs stift
Skövde pastorat;Skara stift
Slaka-Nykils pastorat;Linköpings stift
Smedstorps församling;Lunds stift
Snöstorps församling;Göteborgs stift
Sofia församling;Stockholms stift
Solberga pastorat;Göteborgs stift
Sollefteå pastorat;Härnösands stift
Sollentuna församling;Stockholms stift
Solna församling;Stockholms stift
Sorunda församling;Strängnäs stift
Sotenäs pastorat;Göteborgs stift
Spekeröd-Ucklums församling;Göteborgs stift
Spånga-Kista församling;Stockholms stift
Stallarholmens församling;Strängnäs stift
Starrkärr-Kilanda församling;Göteborgs stift
Stenbrohults församling;Växjö stift
Steneby församling;Karlstads stift
Stenkumla församling;Visby stift
Stenkvista-Ärla församling;Strängnäs stift
Stenstorps pastorat;Skara stift
Stenungsunds pastorat;Göteborgs stift
Stigtomta-Vrena församling;Strängnäs stift
Stockholms domkyrkoförsamling;Stockholms stift
Stockholms stift;Stockholms stift
Stora Köpinge församling;Lunds stift
Stora Lundby-Östad pastorat;Göteborgs stift
Stora Tuna och Torsångs pastorat;Västerås stift
Storfors församling;Karlstads stift
Strängnäs domkyrkoförsamling med Aspö;Strängnäs stift
Strängnäs stift;Strängnäs stift
Strömstads pastorat;Göteborgs stift
Strömsunds pastorat;Härnösands stift
Strövelstorps församling;Lunds stift
Sudrets pastorat;Visby stift
Sundborns församling;Västerås stift
Sundbybergs församling;Stockholms stift
Sunne pastorat;Karlstads stift
Sunnersbergs församling;Skara stift
Sura-Ramnäs församling;Västerås stift
Svalövsbygdens pastorat;Lunds stift
Svedala församling;Lunds stift
Svärdsjö, Envikens och Sundborns pastorat;Västerås stift
Sydöstra Jämtlands pastorat;Härnösands stift
Säffle pastorat;Karlstads stift
Särö pastorat;Göteborgs stift
Säterbygdens församling;Västerås stift
Sätila pastorat;Göteborgs stift
Sävar-Holmöns församling;Luleå stift
Sävare församling;Skara stift
Sävsjö pastorat;Växjö stift
Söderala pastorat;Uppsala stift
Söderhamn-Sandarne församling;Uppsala stift
Söderköping S:t Anna församling;Linköpings stift
Södermöre pastorat;Växjö stift
Södertälje pastorat;Strängnäs stift
Södra Bergslagens pastorat;Karlstads stift
Södra Kållands pastorat;Skara stift
Södra Lapplands pastorat;Luleå stift
Södra Ljunga församling;Växjö stift
Södra Sandby församling;Lunds stift
Södra Tjusts pastorat;Linköpings stift
Södra Vedbo pastorat;Linköpings stift
Södra Vi-Djursdala församling;Linköpings stift
Södra Ölands pastorat;Växjö stift
Sölvesborgs församling;Lunds stift
Söndrum-Vapnö församling;Göteborgs stift
Sösdala församling;Lunds stift
Tanums pastorat;Göteborgs stift
Tibro pastorat;Skara stift
Tidaholms pastorat;Skara stift
Tierp-Söderfors församling;Uppsala stift
Tierps pastorat;Uppsala stift
Tingsryds pastorat;Växjö stift
Tjörns pastorat;Göteborgs stift
Toarps församling;Skara stift
Tollarps församling;Lunds stift
Tomelillabygdens församling;Lunds stift
Torestorps pastorat;Göteborgs stift
Torshälla församling;Strängnäs stift
Torslanda-Björlanda församling;Göteborgs stift
Torsåkers församling;Uppsala stift
Torsås pastorat;Växjö stift
Tranås pastorat;Linköpings stift
Traryd-Hinneryds pastorat;Växjö stift
Trelleborgs församling;Lunds stift
Trollhättans församling;Skara stift
Trosa församling;Strängnäs stift
Träslövs församling;Göteborgs stift
Tunabergs församling;Strängnäs stift
Turinge-Taxinge församling;Strängnäs stift
Tvååkers pastorat;Göteborgs stift
Tyresö församling;Stockholms stift
Tyringe församling;Lunds stift
Tyska S:ta Gertruds församling;Stockholms stift
Tysslinge församling;Strängnäs stift
Tystbergabygdens församling;Strängnäs stift
Täby församling;Stockholms stift
Tärna församling;Luleå stift
Tölö-Älvsåker pastorat;Göteborgs stift
Töreboda pastorat;Skara stift
Uddevalla pastorat;Göteborgs stift
Ulricehamns pastorat;Skara stift
Umeå pastorat;Luleå stift
Upplands Väsby pastorat;Stockholms stift
Uppsala pastorat;Uppsala stift
Uppsala stift;Uppsala stift
Uppvidinge pastorat;Växjö stift
Uppåkra församling;Lunds stift
Vadstena pastorat;Linköpings stift
Valbo-Hedesunda pastorat;Uppsala stift
Valdemarsviks-Ringarums pastorat;Linköpings stift
Vallentuna församling;Stockholms stift
Vantörs församling;Stockholms stift
Varabygdens församling;Skara stift
Varbergs församling;Göteborgs stift
Vattholma pastorat;Uppsala stift
Vaxholms församling;Stockholms stift
Veberöds församling;Lunds stift
Veddige-Kungsäters församling;Göteborgs stift
Vellinge-Månstorps församling;Lunds stift
Vendel-Tegelsmora församling;Uppsala stift
Vetlanda pastorat;Växjö stift
Viby församling;Strängnäs stift
Vikingstads församling;Linköpings stift
Villie församling;Lunds stift
Vimmerby pastorat;Linköpings stift
Vindelns församling;Luleå stift
Vinslövs församling;Lunds stift
Virestad-Härlunda församling;Växjö stift
Visby domkyrkoförsamling;Visby stift
Visby stift;Visby stift
Vislanda-Blädinge församling;Växjö stift
Vist/Vårdnäs pastorat;Linköpings stift
Vittinge församling;Uppsala stift
Vittsjö-Verums pastorat;Lunds stift
Vollsjö församling;Lunds stift
Voxtorps pastorat;Växjö stift
Vreta klosters församling;Linköpings stift
Vä-Skepparslövs pastorat;Lunds stift
Vällingby församling;Stockholms stift
Vänersborg och Väne-Ryrs församling;Skara stift
Vännäs-Bjurholms pastorat;Luleå stift
Värby församling;Lunds stift
Värmdö församling;Stockholms stift
Värnamo församling;Växjö stift
Värsås pastorat;Skara stift
Värö-Stråvalla församling;Göteborgs stift
Västanfors-Västervåla församling;Västerås stift
Västerfärnebo-Fläckebo församling;Västerås stift
Västerleds församling;Stockholms stift
Västerlövsta pastorat;Uppsala stift
Västermalms församling;Stockholms stift
Västerås pastorat;Västerås stift
Västerås stift;Västerås stift
Västra Bjäre pastorat;Lunds stift
Västra Frölunda pastorat;Göteborgs stift
Västra Marks församling;Göteborgs stift
Västra Tunhems pastorat;Skara stift
Västra Vikbolandets församling;Linköpings stift
Västra Vingåkers och Österåkers pastorat;Strängnäs stift
Växjö pastorat;Växjö stift
Växjö stift;Växjö stift
Vårfruberga-Härads församling;Strängnäs stift
Vårgårda pastorat;Skara stift
