Stift;Enhet;Löneservice;Antal konton
Lunds stift;Blentarps församling;Nej;11
Lunds stift;Broby-Emmislövs församling;Nej;15
Lunds stift;Bromölla pastorat;Nej;24
Lunds stift;Burlövs församling;Nej;43
Lunds stift;Dalköpinge församling;Nej;5
Lunds stift;Degeberga-Everöds församling;Nej;16
Lunds stift;Dösjebro församling;Nej;13
Lunds stift;Eslövs pastorat;Nej;90
Lunds stift;Fjälkinge församling;Nej;23
Lunds stift;Fridlevstads församling;Nej;13
Lunds stift;Genarps församling;Nej;17
Lunds stift;Glimåkra-Hjärsås församling;Nej;14
Lunds stift;Gärsnäs församling;Nej;20
Lunds stift;Hammarlövs församling;Nej;14
Lunds stift;Helsingborgs pastorat;Nej;252
Lunds stift;Hässleholms församling;Nej;67
Lunds stift;Höganäs församling;Nej;23
Lunds stift;Hörby församling;Nej;45
Lunds stift;Jämjö pastorat;Nej;22
Lunds stift;Jämshögs församling;Nej;25
Lunds stift;Karlshamns församling;Nej;52
Lunds stift;Karlskrona Amiralitetsförsamling;Nej;14
Lunds stift;Kiviks församling;Nej;14
Lunds stift;Klippans pastorat;Nej;59
Lunds stift;Knislinge pastorat;Nej;22
Lunds stift;Kristianstads pastorat;Nej;56
Lunds stift;Kulla pastorat;Nej;33
Lunds stift;Kvistofta församling;Nej;32
Lunds stift;Kyrkhults församling;Nej;10
Lunds stift;Källstorps församling;Nej;30
Lunds stift;Kågeröd-Röstånga församling;Nej;19
Lunds stift;Ljunits församling;Nej;16
Lunds stift;Lomma församling;Nej;25
Lunds stift;Lyckå församling;Nej;33
Lunds stift;Löderups församling;Nej;6
Lunds stift;Lövestads församling;Nej;5
Lunds stift;Mjällby församling;Nej;10
Lunds stift;Munka Ljungby församling;Nej;16
Lunds stift;Mörrum-Elleholms församling;Nej;13
Lunds stift;Nosaby församling;Nej;11
Lunds stift;Näsets pastorat;Nej;47
Lunds stift;Nättraby-Hasslö församling;Nej;16
Lunds stift;Oppmanna-Vånga församling;Nej;10
Lunds stift;Osby pastorat;Nej;61
Lunds stift;Perstorps församling;Nej;18
Lunds stift;Ringsjö församling;Nej;15
Lunds stift;Ronneby pastorat;Nej;96
Lunds stift;Rödeby församling;Nej;11
Lunds stift;S:t Staffans församling;Nej;43
Lunds stift;Simrishamns församling;Nej;36
Lunds stift;Sjöbo församling;Nej;15
Lunds stift;Skurups församling;Nej;24
Lunds stift;Smedstorps församling;Nej;9
Lunds stift;Stora Köpinge församling;Nej;9
Lunds stift;Strövelstorps församling;Nej;18
Lunds stift;Svalövsbygdens pastorat;Nej;28
Lunds stift;Svedala församling;Nej;31
Lunds stift;Södra Sandby församling;Nej;16
Lunds stift;Sölvesborgs församling;Nej;22
Lunds stift;Sösdala församling;Nej;11
Lunds stift;Tollarps församling;Nej;20
Lunds stift;Tomelillabygdens församling;Nej;33
Lunds stift;Uppåkra församling;Nej;21
Lunds stift;Veberöds församling;Nej;17
Lunds stift;Vellinge-Månstorps församling;Nej;21
Lunds stift;Villie församling;Nej;10
Lunds stift;Vinslövs församling;Nej;14
Lunds stift;Vittsjö-Verums pastorat;Nej;19
Lunds stift;Vollsjö församling;Nej;9
Lunds stift;Vä-Skepparslövs pastorat;Nej;29
Lunds stift;Värby församling;Nej;13
Lunds stift;Västra Bjäre pastorat;Nej;19
Lunds stift;Ystad-Sövestads församling;Nej;50
Lunds stift;Åhus församling;Nej;25
Lunds stift;Örkelljunga pastorat;Nej;39
Lunds stift;Örkeneds församling;Nej;13
Skara stift;Amnehärad-Lyrestads pastorat;Ja;15
Skara stift;Borås församling;Ja;216
Skara stift;Falköpings pastorat;Ja;51
Skara stift;Floby pastorat;Ja;33
Skara stift;Fristads församling;Ja;38
Skara stift;Grästorps pastorat;Ja;37
Skara stift;Hjo pastorat;Ja;33
Skara stift;Kinnarumma pastorat;Ja;16
Skara stift;Mullsjö-Sandhems församling;Ja;33
Skara stift;Norra Billings pastorat;Ja;36
Skara stift;Rommele församling;Ja;18
Skara stift;Sandhult-Bredareds församling;Ja;37
Skara stift;Skara pastorat;Ja;75
Skara stift;Skara stift;Ja;116
Skara stift;Skövde pastorat;Ja;146
Skara stift;Stenstorps pastorat;Ja;26
Skara stift;Tibro pastorat;Ja;32
Skara stift;Toarps församling;Ja;35
Skara stift;Trollhättans församling;Ja;126
Skara stift;Ulricehamns pastorat;Ja;101
Skara stift;Varabygdens församling;Ja;81
Skara stift;Västra Tunhems pastorat;Ja;61
Skara stift;Alingsås pastorat;Nej;99
Skara stift;Bjärke församling;Nej;23
Skara stift;Essunga pastorat;Nej;30
Skara stift;Götene pastorat;Nej;52
Skara stift;Habo pastorat;Nej;28
Skara stift;Herrljungabygdens församling;Nej;36
Skara stift;Karlsborgs pastorat;Nej;33
Skara stift;Lidköpings församling;Nej;45
Skara stift;Lugnås-Ullervads pastorat;Nej;20
Skara stift;Mariestads församling;Nej;37
Skara stift;Norra Mo församling;Nej;13
Skara stift;Sunnersbergs församling;Nej;28
Skara stift;Sävare församling;Nej;35
Skara stift;Södra Kållands pastorat;Nej;38
Skara stift;Tidaholms pastorat;Nej;119
Skara stift;Töreboda pastorat;Nej;45
Skara stift;Vänersborg och Väne-Ryrs församling;Nej;58
Skara stift;Värsås pastorat;Nej;11
Skara stift;Vårgårda pastorat;Nej;44
Stockholms stift;Adolf Fredriks församling;Ja;24
Stockholms stift;Boo församling;Ja;75
Stockholms stift;Botkyrka församling;Ja;90
Stockholms stift;Danderyds församling;Ja;140
Stockholms stift;Djurö, Möja och Nämdö församling;Ja;15
Stockholms stift;Ekerö pastorat;Ja;93
Stockholms stift;Enskede-Årsta församling;Ja;87
Stockholms stift;Finska församlingen;Ja;21
Stockholms stift;Haninge pastorat;Ja;143
Stockholms stift;Hässelby församling;Ja;24
Stockholms stift;Högalids församling;Ja;32
Stockholms stift;Maria Magdalena församling;Ja;41
Stockholms stift;S:t Johannes församling;Ja;17
Stockholms stift;S:t Matteus församling;Ja;41
Stockholms stift;Sollentuna församling;Ja;231
Stockholms stift;Stockholms stift;Ja;110
Stockholms stift;Täby församling;Ja;170
Stockholms stift;Upplands Väsby pastorat;Ja;71
Stockholms stift;Vallentuna församling;Ja;129
Stockholms stift;Vällingby församling;Ja;29
Stockholms stift;Västerleds församling;Ja;29
Stockholms stift;Västermalms församling;Ja;94
Stockholms stift;Bromma församling;Nej;41
Stockholms stift;Brännkyrka församling;Nej;57
Stockholms stift;Engelbrekts församling;Nej;25
Stockholms stift;Farsta församling;Nej;79
Stockholms stift;Färingsö församling;Nej;27
Stockholms stift;Gustav Vasa församling;Nej;28
Stockholms stift;Gustavsberg-Ingarö församling;Nej;48
Stockholms stift;Hedvig Eleonora och Oscars församling;Nej;116
Stockholms stift;Hovförsamlingen;Nej;3
Stockholms stift;Huddinge pastorat;Nej;213
Stockholms stift;Hägerstens församling;Nej;75
Stockholms stift;Järfälla församling;Nej;125
Stockholms stift;Katarina församling;Nej;78
Stockholms stift;Lidingö församling;Nej;66
Stockholms stift;Nacka församling;Nej;80
Stockholms stift;Saltsjöbadens församling;Nej;27
Stockholms stift;Skarpnäcks församling;Nej;64
Stockholms stift;Skärholmens församling;Nej;36
Stockholms stift;Sofia församling;Nej;37
Stockholms stift;Solna församling;Nej;84
Stockholms stift;Spånga-Kista församling;Nej;55
